111.09.18,敏豆-白豆,高雄市,121.2,1110.0
111.09.18,火龍果-白肉,鳳山區,10.8,5940.0
111.09.18,花椰菜-青梗,鳳山區,39.4,295.0
111.09.18,扁蒲-花蒲,鳳山區,6.9,40.0
111.09.18,扁蒲-梨子蒲,鳳山區,12.1,18.0
111.09.18,蕃茄-黑柿,鳳山區,38.1,210.0
111.09.18,豌豆-白花,鳳山區,60.0,100.0
111.09.18,冬瓜-白皮,屏東市,9.0,1642.0
111.09.18,絲瓜-長絲瓜,屏東市,26.4,94.0
111.09.18,苦瓜-白大米,屏東市,53.8,1938.0
111.09.18,苦瓜-青大米,屏東市,33.8,343.0
111.09.18,扁蒲-花蒲,屏東市,8.6,701.0
111.09.18,扁蒲-梨子蒲,屏東市,12.0,199.0
111.09.18,茄子-胭脂茄,屏東市,28.0,297.0
111.09.18,茄子-麻荸茄,屏東市,37.5,621.0
111.09.18,蕃茄-黑柿,屏東市,38.0,333.0
111.09.18,豌豆-白花,屏東市,60.0,182.0
111.09.18,菜豆-青色,屏東市,40.5,220.0
111.09.18,敏豆-粉豆,屏東市,38.9,127.0
111.09.18,敏豆-醜豆,屏東市,150.0,30.0
111.09.18,冬瓜-白皮,台東市,15.0,1145.0
111.09.18,苦瓜-白大米,台東市,59.0,901.0
111.09.18,甜椒-青椒,台東市,54.0,576.0
111.09.18,敏豆-粉豆,台東市,111.0,21.0
111.09.17,椰子-進口剝殼,台北二,32.7,2960.0
111.09.17,藍莓-進口藍莓,台北二,133.3,710.0
111.09.17,火龍果-紅肉,台北二,40.5,12583.0
111.09.17,香蕉-其他,台北二,7.0,19.0
111.09.17,香蕉,台北二,21.8,8580.0
111.09.17,香蕉-芭蕉紅芭蕉,台北二,25.6,3853.0
111.09.17,鳳梨-金鑽鳳梨,台北二,32.4,3426.0
111.09.17,鳳梨-牛奶鳳梨,台北二,15.4,3518.0
111.09.17,甜橙-進口,台北二,25.2,4998.0
111.09.17,雜柑-檸檬,台北二,28.1,2244.0
111.09.17,雜柑-無子檸檬,台北二,31.1,3473.0
111.09.17,雜柑-黃金檸檬,台北二,26.7,385.0
111.09.17,花椰菜-青梗,台北二,69.8,2489.0
111.09.17,冬瓜-白皮,台北二,8.1,5424.0
111.09.17,絲瓜-絲瓜,台北二,33.9,9200.0
111.09.17,絲瓜-角瓜,台北二,75.0,17.0
111.09.17,苦瓜-其他,台北二,37.1,1980.0
111.09.17,苦瓜-白大米,台北二,60.0,2864.0
111.09.17,苦瓜-翠綠,台北二,39.1,403.0
111.09.17,扁蒲-長形,台北二,8.0,15.0
111.09.17,扁蒲-花蒲,台北二,20.7,2868.0
111.09.17,扁蒲-梨子蒲,台北二,22.4,3795.0
111.09.17,茄子-其他,台北二,75.0,18.0
111.09.17,甜椒-新香,台北二,29.7,38.0
111.09.17,豌豆-甜豌豆,台北二,130.0,176.0
111.09.17,火鶴花-粉佳人,台北市場,8.0,25.0
111.09.17,大菊-白天星,台北市場,94.6,1210.0
111.09.17,小菊-小紅娘,台北市場,60.5,120.0
111.09.17,小菊-金,台北市場,75.4,335.0
111.09.17,染小菊-芬蘭,台北市場,125.0,60.0
111.09.17,非洲-金爵,台北市場,90.6,149.0
111.09.17,非洲菊-粉,台北市場,75.0,24.0
111.09.17,非洲菊-粉紅魅力,台北市場,93.9,193.0
111.09.17,非洲菊-迷你混色,台北市場,56.7,154.0
111.09.17,石蒜-金花,台北市場,188.6,135.0
111.09.17,黃金鳥-黃金鳥,台北市場,27.1,47.0
111.09.17,鶴蕉紅美人-鶴蕉紅美人,台北市場,18.0,60.0
111.09.17,秀線-秀線,台北市場,72.8,120.0
111.09.17,大理花-黃色,台北市場,129.5,10.0
111.09.17,大理花-粉色,台北市場,104.9,31.0
111.09.17,,台北市場,63.6,20.0
111.09.17,雞冠花-綠,台北市場,125.0,16.0
111.09.17,珊瑚鳳梨-珊瑚鳳梨,台北市場,24.0,75.0
111.09.17,金魚草-粉色,台北市場,71.0,19.0
111.09.17,麒麟草-麒麟草,台北市場,28.1,872.0
111.09.17,伯利恆之星-伯利恆之星,台北市場,69.0,53.0
111.09.17,LA百合-紅,台北市場,93.3,37.0
111.09.17,,台北市場,321.0,8.0
111.09.17,,台北市場,134.0,10.0
111.09.17,,台北市場,131.0,16.0
111.09.17,,台北市場,179.2,76.0
111.09.17,,台北市場,131.0,15.0
111.09.17,,台北市場,171.0,16.0
111.09.17,,台北市場,183.0,28.0
111.09.17,玫瑰-玫瑰,台北市場,277.1,11.0
111.09.17,玫瑰-鑽石黃,台北市場,197.5,33.0
111.09.17,玫瑰-翡翠粉,台北市場,188.9,257.0
111.09.17,玫瑰-翡翠白,台北市場,170.4,256.0
111.09.17,椰子-進口剝殼,台北一,33.2,3950.0
111.09.17,小番茄-其他,台北一,162.4,192.0
111.09.17,櫻桃-進口,台北一,215.2,198.0
111.09.17,香蕉-其他,台北一,10.0,497.0
111.09.17,香蕉,台北一,18.0,19364.0
111.09.17,香蕉-芭蕉紅芭蕉,台北一,21.3,3193.0
111.09.17,鳳梨-金鑽鳳梨,台北一,26.0,8636.0
111.09.17,鳳梨-牛奶鳳梨,台北一,15.3,4322.0
111.09.17,溫州柑-溫州柑,台北一,35.0,156.0
111.09.17,雜柑-檸檬,台北一,28.0,4769.0
111.09.17,雜柑-桔子,台北一,52.5,500.0
111.09.17,雜柑-黃金檸檬,台北一,15.0,19.0
111.09.17,其他花類,台北一,90.0,45.0
111.09.17,絲瓜-絲瓜,台北一,39.9,20389.0
111.09.17,絲瓜-角瓜,台北一,254.6,267.0
111.09.17,扁蒲-長形,台北一,19.0,101.0
111.09.17,豌豆-豌豆苗,台北一,100.0,178.0
111.09.17,敏豆-白豆,台北一,212.6,2933.0
111.09.17,椰子,板橋區,10.0,402.0
111.09.17,藍莓-進口藍莓,板橋區,333.3,790.5
111.09.17,百香果-改良種,板橋區,32.6,1833.0
111.09.17,甘蔗-帶皮,板橋區,8.8,1056.0
111.09.17,小番茄-其他,板橋區,47.0,50.0
111.09.17,小番茄-一般,板橋區,25.0,263.0
111.09.17,香蕉-其他,板橋區,10.0,91.0
111.09.17,香蕉-芭蕉紅芭蕉,板橋區,19.2,281.0
111.09.17,鳳梨-金鑽鳳梨,板橋區,16.9,288.0
111.09.17,鳳梨-牛奶鳳梨,板橋區,17.1,630.0
111.09.17,雜柑-檸檬,板橋區,20.8,333.0
111.09.17,雜柑-黃金檸檬,板橋區,30.6,662.0
111.09.17,絲瓜-絲瓜,板橋區,35.2,5090.0
111.09.17,敏豆-白豆,板橋區,106.4,439.0
111.09.17,毛豆-豆莢,板橋區,54.0,30.0
111.09.17,藍莓-進口藍莓,三重區,166.0,2058.0
111.09.17,百香果-其他,三重區,52.2,1155.0
111.09.17,甘蔗-帶皮,三重區,9.0,2144.0
111.09.17,小番茄-玉女,三重區,146.4,430.0
111.09.17,火龍果-紅肉,三重區,36.8,17848.0
111.09.17,香蕉-其他,三重區,10.0,132.0
111.09.17,香蕉-芭蕉紅芭蕉,三重區,24.8,3510.0
111.09.17,鳳梨-牛奶鳳梨,三重區,17.5,855.0
111.09.17,鳳梨-進口,三重區,36.7,1125.0
111.09.17,溫州柑-溫州柑,三重區,25.0,293.0
111.09.17,甜橙-柳橙,三重區,20.0,54.0
111.09.17,雜柑-檸檬,三重區,24.8,2051.0
111.09.17,雜柑-黃金檸檬,三重區,25.3,945.0
111.09.17,黃秋葵,三重區,64.6,841.0
111.09.17,花胡瓜,三重區,43.6,4208.0
111.09.17,冬瓜-白皮,三重區,5.8,1722.0
111.09.17,絲瓜-絲瓜,三重區,32.1,4449.0
111.09.17,扁蒲-長形,三重區,13.0,48.0
111.09.17,菜豆-青色,三重區,44.7,910.0
111.09.17,敏豆-白豆,三重區,139.4,406.0
111.09.17,釋迦,宜蘭市,65.0,1750.0
111.09.17,鳳梨-牛奶鳳梨,宜蘭市,15.0,2850.0
111.09.17,雜柑-檸檬,宜蘭市,25.0,1850.0
111.09.17,胡瓜-黑刺,宜蘭市,30.0,1650.0
